City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zlatograd,41.3833,25.1,280.95,93,100,2.55,BG,1683682785
83,happy valley-goose bay,53.3168,-60.3315,274.32,60,100,9.77,CA,1683682577
84,tezu,27.9167,96.1667,301.13,41,74,0.61,IN,1683682786
85,darwin,-12.4611,130.8418,300.31,33,0,7.2,AU,1683682786
86,riohacha,11.5444,-72.9072,300.94,78,100,4.26,CO,1683682710
87,ingeniero luis a. huergo,-39.0833,-67.2333,285.87,30,51,3.98,AR,1683682787
88,port-aux-francais,-49.35,70.2167,277.75,96,100,18.13,TF,1683682532
89,ilulissat,69.2167,-51.1,272.16,80,100,2.06,GL,1683682613
90,bonthe,7.5264,-12.505,296.71,89,100,5.19,SL,1683682788
91,east london,-33.0153,27.9116,289.91,75,0,4.18,ZA,1683682696
92,wenchang,30.904,118.4887,291.08,59,97,3.14,CN,1683682789
93,balqash,46.8481,74.995,289.48,33,0,4.0,KZ,1683682662
94,pont rouge,48.8833,-72.0825,282.31,47,21,2.3,CA,1683682790
95,sisimiut,66.9395,-53.6735,272.88,83,100,4.27,GL,1683682728
96,callao,-12.0667,-77.15,294.66,78,100,5.14,PE,1683682791
97,tolanaro,-25.0319,46.9987,295.19,94,20,3.09,MG,1683682730
98,iskateley,67.6803,53.1512,271.73,87,99,4.85,RU,1683682548
99,sinabang,2.4803,96.3801,301.94,71,94,3.25,ID,1683682792
100,qaqortoq,60.7167,-46.0333,274.95,88,100,2.52,GL,1683682792
101,tabou,4.423,-7.3528,300.44,81,100,2.2,CI,1683682792
102,atafu village,-8.5421,-172.5159,302.15,77,21,6.13,TK,1683682793
103,papatowai,-46.5619,169.4708,284.05,57,87,3.78,NZ,1683682539
104,labrador city,52.9463,-66.9114,271.1,50,75,3.6,CA,1683682617
105,rabo de peixe,37.8,-25.5833,290.88,94,75,3.6,PT,1683682504
106,luderitz,-26.6481,15.1594,290.22,54,100,0.81,NA,1683682704
107,whitehorse,60.7161,-135.0538,284.83,33,100,6.17,CA,1683682173
108,chekmagush,55.1319,54.6556,278.05,60,99,2.6,RU,1683682795
109,vorkuta,67.5,64.0,269.32,96,100,0.42,RU,1683682796
110,port mathurin,-19.6833,63.4167,298.49,75,7,5.97,MU,1683682549
111,nabire,-3.3667,135.4833,300.72,84,96,0.24,ID,1683682796
112,marsabit,2.3284,37.9899,289.56,93,90,8.21,KE,1683682797
113,nantucket,41.2835,-70.0995,282.59,75,0,4.12,US,1683682797
114,fort st. john,56.2499,-120.8529,293.09,24,75,1.03,CA,1683682637
115,inari,68.906,27.0288,278.26,99,100,1.1,FI,1683682798
116,fortaleza,-3.7227,-38.5247,301.22,78,0,2.06,BR,1683682666
